Data,Título,DOI
2026-01-15,"Effects of Florfenicol on Intestinal Structure, Microbial Community and Antibiotic Resistance Genes in Penaeus vannamei",https://doi.org/10.3390/microorganisms14010204
2026-01-31,Metagenomic Analysis Reveals Adaptive Responses of Intestinal Microbial Community in Penaeus vannamei to Hypersaline Conditions,https://doi.org/10.3390/w18030366
2026-02-02,"Comparative Study of Survival and Growth Performance of Penaeus vannamei (Boone, 1931) with Probiotic Supplementation at Higher Salinities",https://doi.org/10.56557/upjoz/2026/v47i35488
2026-01-30,A genome-structure adaptive framework for ROH-based inbreeding estimation in Penaeus vannamei,https://doi.org/10.1038/s41598-026-37622-8
2026-01-30,Antimicrobial peptide LRSG08 from Penaeus vannamei exhibits antibacterial activity against Vibrio spp. in aquatic products,https://doi.org/10.1016/j.micpath.2026.108330
2026-01-13,Two-Generation Genetic Evaluation of Female Reproductive Performance in Pacific White Shrimp (Penaeus vannamei) Under SPF Conditions,https://doi.org/10.3390/ani16020235
2026-01-08,Nursery in BFT and grow-out in RAS enhances production and flesh quality of Penaeus vannamei,https://doi.org/10.1016/j.aquaculture.2026.743634
2026-01-28,Dynamics of Microbial Community and Flavor Changes During Fermentation of the Penaeus vannamei-Rice System,https://doi.org/10.1007/s11483-025-10099-0
2026-01-09,"Effects of Dietary Supplementation with Kappaphycus alvarezii and Spirulina platensis on Growth Performance, Immunity, and Disease Resistance of Penaeus vannamei Challenged with Vibrio parahaemolyticus",https://doi.org/10.56557/upjoz/2026/v47i15434
2026-01-08,"Regulatory role of quercetin, cinnamaldehyde, and glycerol monolaurate complex on lipid metabolism and antiviral mechanisms against white spot syndrome virus in Penaeus vannamei",https://doi.org/10.1016/j.micpath.2026.108294
2026-01-29,"Dietary Supplementation of Selected Feed Additives and Its Effects on Growth Performance, Survival and Digestive Enzyme Activity in Whiteleg Shrimp, Penaeus vannamei Boone, 1931",https://doi.org/10.9734/jabb/2026/v29i13598
2026-02-02,"Comparative Study of Survival and Growth Performance of Penaeus vannamei (Boone, 1931) with Probiotic Supplementation at Higher Salinities",
2026-02-01,Integrated Biosecurity and Microbiological Control Strategies in the Production of Penaeus vannamei: A HACCP-Based Approach and Molecular Dynamics of Vibrio,
2026-01-20,Estimation of white spot syndrome virus severity grades dynamics in whiteleg shrimp (Penaeus vannamei) during the disease transition process,https://doi.org/10.1016/j.jip.2026.108546
2026-01-31,Integrating multi-clusters classification with temporal structure of pulse improves feed consumption prediction across Penaeus vannamei size groups,https://doi.org/10.1016/j.aquaeng.2026.102697
2026-01-27,"Waterborne inoculation of Rhodotorula mucilaginosa modulates the biofloc microbial composition, nutrition, and growth of juvenile Penaeus vannamei in a zero-water exchange system",https://doi.org/10.1007/s10499-026-02445-x
2026-01-18,"Bolstering shrimp resilience against AHPND: Biofloc reduce Vibrio parahaemolyticus population, affects microbial composition, and increase Penaeus vannamei shrimp growth and resistance",https://doi.org/10.1016/j.aquaculture.2026.743667
2026-01-21,Application of predatory bacteria ( <i>Bacteriovorax</i> sp.) as a biocontrol agent against the pathogenic Vibrios in Pacific whiteleg shrimp ( <i>Penaeus vannamei</i> ),https://doi.org/10.1080/10454438.2026.2616680
2026-02-01,Dietary supplementation of Morinda citrifolia fruit and Syzygium cumini leaf enhances growth performance and stress tolerance in white leg shrimp (Penaeus vannamei) post larvae,https://doi.org/10.33545/26174693.2026.v10.i2a.7313
2026-02-01,Dietary supplementation of Morinda citrifolia fruit and Syzygium cumini leaf enhances growth performance and stress tolerance in white leg shrimp (Penaeus vannamei) post larvae,https://doi.org/10.33545/26174693.2026.v10.i2b.7313
